Entreprise,Volume_Actions,Prix_MAD,Variation_Pct,Ticker,Secteur,PE_Actuel,Div_Yield_Pct,PE_2023,PE_2022,BPA_2023,BPA_2022,DPA_2023,DPA_2022,RN_2023,RN_2022,Date_Collecte
SALAFIN,24,556.0,-0.89,SLF,Financement,17.93,4.56,17.93,20.8,29.0,27.4,28.5,27.0,90.58,85.75,2026-02-04
AUTO HALL,135,92.0,0.0,ATH,Distribution,112.92,2.5,112.92,32.5,0.6,2.0,2.0,3.5,27.88,100.06,2026-02-04
ENNAKL,225,51.0,0.0,NKL,Distributeurs,6.89,6.78,6.89,6.54,4.5,4.8,2.1,1.9,134.39,120.45,2026-02-04
S2M,20,579.0,1.58,S2M,Logiciels,6.79,5.44,6.79,8.12,26.5,25.0,0.0,0.0,21.55,20.32,2026-02-04
CARTIER SAADA,207,31.3,0.32,CRS,Agroalimentaire,14.67,2.9,14.67,44.17,1.5,0.6,0.0,0.0,8.0,2.0,2026-02-04
IB-MAROC.COM,83,67.99,3.02,IBC,Logiciels,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-04
DISWAY,4,879.0,-0.11,DWY,Technologie,18.73,5.03,18.73,14.92,34.7,44.9,35.0,35.0,65.52,84.64,2026-02-04
ZELLIDJA,10,232.15,0.0,ZDJ,Matériaux,,2.61,-36.95,5.39,-1.9,13.5,0.0,0.0,-1.1,7.76,2026-02-04
M2M GROUP,4,454.0,0.0,M2M,Logiciels,,5.32,-27.15,15.2,-22.8,51.9,0.0,0.0,-14.78,-33.61,2026-02-04
OULMES,1,1235.0,5.92,OUL,Agroalimentaire,41.76,1.88,41.76,50.45,32.3,30.8,22.0,16.5,63.92,60.89,2026-02-04
BALIMA,3,225.0,0.0,BAL,Immobilier,36.27,2.39,36.27,15.57,5.1,10.6,5.5,5.5,8.89,18.49,2026-02-04
MAROC LEASING,1,359.0,0.0,MLE,Financement,9.6,3.64,9.6,14.23,37.5,24.8,14.0,14.0,104.17,68.88,2026-02-04
SBM,0,2199.0,0.0,SBM,Agroalimentaire,10.02,4.54,10.02,17.02,225.2,140.9,160.0,145.5,637.25,398.75,2026-02-04
AUTO NEJMA,0,4326.0,0.0,NEJ,Distribution,16.02,5.8,16.02,9.93,154.2,182.9,94.0,125.0,157.77,189.39,2026-02-04
MAGHREB OXYGENE,0,399.85,0.0,MOX,Matériaux,19.66,0.86,19.66,13.02,11.7,18.8,4.0,4.0,9.54,15.26,2026-02-04
PROMOPHARM,0,1444.0,0.0,PRO,Pharmaceutiques,17.57,3.93,17.57,14.18,56.9,75.3,0.0,40.0,56.9,75.28,2026-02-04
AFMA,0,1226.0,0.0,AFM,Assurances,20.0,4.26,20.0,21.92,60.0,59.3,55.0,55.0,60.0,59.32,2026-02-04
SRM,0,479.95,0.0,SRM,équipement,,5.12,-4.44,17.86,-27.0,8.4,0.0,0.0,-8.65,2.69,2026-02-04
DARI COUSPATE,0,4300.0,0.0,DRI,Agroalimentaire,27.1,3.51,27.1,59.38,118.1,66.6,120.0,85.0,35.23,19.88,2026-02-04
REBAB,0,100.7,0.0,REB,Matériaux,69.84,2.1,69.84,-87.31,1.2,-1.3,0.0,0.0,0.22,-0.22,2026-02-04
DELATTRE LEVIVIER,0,40.0,0.0,DLM,équipement,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-04
CREDIT EQDOM,0,1298.0,0.0,EQD,Financement,18.63,4.65,18.63,16.07,53.0,52.9,55.0,55.0,88.57,88.32,2026-02-04
DIAC SALAF,0,26.25,0.0,DIS,Sociétés de Financement,,7.0,,,,,,,,,2026-02-04
UNIMER,0,160.0,0.0,UMR,Agroalimentaire,,0.57,-59.0,39.49,-3.0,4.0,1.0,1.0,-34.1,45.92,2026-02-04
AGMA,0,6500.0,0.0,AGM,Assurances,20.16,4.3,20.16,21.36,316.5,284.2,275.0,260.0,63.3,56.83,2026-02-04
SAMIR,0,127.8,0.0,SAM,Pétrole et Gaz,,3.02,,,,,,,,,2026-02-04
